date,products_supplied
Jan-2008,627656
Feb-2008,580836
Mar-2008,614758
Apr-2008,594449
May-2008,613723
Jun-2008,590342
Jul-2008,606254
Aug-2008,597441
Sep-2008,535165
Oct-2008,610647
Nov-2008,571573
Dec-2008,593409
Jan-2009,590234
Feb-2009,527011
Mar-2009,580286
Apr-2009,560172
May-2009,564542
Jun-2009,564829
Jul-2009,577412
Aug-2009,587432
Sep-2009,557833
Oct-2009,582888
Nov-2009,562590
Dec-2009,596333
Jan-2010,578132
Feb-2010,527273
Mar-2010,591487
Apr-2010,571989
May-2010,585109
Jun-2010,586854
Jul-2010,598019
Aug-2010,609559
Sep-2010,583937
Oct-2010,586761
Nov-2010,568963
Dec-2010,611718
Jan-2011,586949
Feb-2011,526890
Mar-2011,594866
Apr-2011,557445
May-2011,571295
Jun-2011,575614
Jul-2011,580019
Aug-2011,600253
Sep-2011,566597
Oct-2011,583322
Nov-2011,571763
Dec-2011,581847
Jan-2012,567256
Feb-2012,540040
Mar-2012,562017
Apr-2012,544879
May-2012,575812
Jun-2012,566197
Jul-2012,574746
Aug-2012,593330
Sep-2012,542427
Oct-2012,579946
Nov-2012,555853
Dec-2012,562037
Jan-2013,580809
Feb-2013,522308
Mar-2013,574970
Apr-2013,557828
May-2013,580719
Jun-2013,564479
Jul-2013,597058
Aug-2013,593334
Sep-2013,578447
Oct-2013,599006
Nov-2013,584641
Dec-2013,589181
Jan-2014,592179
Feb-2014,529329
Mar-2014,572013
Apr-2014,565032
May-2014,576636
Jun-2014,566345
Jul-2014,596659
Aug-2014,600526
Sep-2014,576110
Oct-2014,610719
Nov-2014,581811
Dec-2014,604310
Jan-2015,597459
Feb-2015,550869
Mar-2015,599815
Apr-2015,577827
May-2015,598991
Jun-2015,595390
Jul-2015,623682
Aug-2015,617749
Sep-2015,583075
Oct-2015,603560
Nov-2015,573163
Dec-2015,607466
Jan-2016,590952
Feb-2016,575396
Mar-2016,612347
Apr-2016,580388
May-2016,599120
Jun-2016,594972
Jul-2016,612364
Aug-2016,628109
Sep-2016,593243
Oct-2016,610208
Nov-2016,590579
Dec-2016,619556
Jan-2017,597976
Feb-2017,536096
Mar-2017,621782
Apr-2017,588635
May-2017,621449
Jun-2017,616953
Jul-2017,623884
Aug-2017,628494
Sep-2017,588882
Oct-2017,619097
Nov-2017,609308
Dec-2017,629896
Jan-2018,637495
Feb-2018,551408
Mar-2018,642668
Apr-2018,601151
May-2018,627787
Jun-2018,623108
Jul-2018,640813
Aug-2018,662039
Sep-2018,602523
Oct-2018,644360
Nov-2018,623226
Dec-2018,630152
Jan-2019,639064
Feb-2019,567948
Mar-2019,625463
Apr-2019,609978
May-2019,632000
Jun-2019,619619
Jul-2019,642772
Aug-2019,655895
Sep-2019,607454
Oct-2019,642134
Nov-2019,622085
Dec-2019,633729
Jan-2020,617935
Feb-2020,583835
Mar-2020,572348
Apr-2020,436455
May-2020,498424
Jun-2020,527342
Jul-2020,569813
Aug-2020,575294
Sep-2020,552445
Oct-2020,577023
Nov-2020,562276
Dec-2020,582852
Jan-2021,583245
Feb-2021,495575
Mar-2021,593096
Apr-2021,592311
May-2021,621542
Jun-2021,617576
Jul-2021,625327
Aug-2021,637750
Sep-2021,604157
Oct-2021,631692
Nov-2021,617179
Dec-2021,640357
Jan-2022,611662
Feb-2022,572198
Mar-2022,635868
Apr-2022,598721
May-2022,622381
Jun-2022,623159
Jul-2022,630696
Aug-2022,638632
Sep-2022,614099
Oct-2022,632856
Nov-2022,617792
Dec-2022,604227
Jan-2023,605708
Feb-2023,559928
